age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Not at all,Somewhat,No,Negative,White,50,Sales and service,Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,80,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,Natural resources and agriculture,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,Other,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,Business,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,White,10,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",35,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Not at all,Somewhat,No,Positive,White,80,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,Other,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Not at all,No,Positive,Other,30,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,Other,60,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,40,Management,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Positive,White,60,"Trades, transport and equipment operators",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,48,Business,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Other,5,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",40,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Management,Work from Home Only,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Other,40,Management,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Other,2,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Not at all,Not at all,"Yes, one dose",Positive,White,7,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Other,10,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,"African, Caribbean, or Black ",8,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Work from Home Only,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Not at all,"Yes, one dose",Negative,White,28,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,Other,20,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,8,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",32,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,3,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Negative,Indigenous,3,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",25,Business,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Work from Home Only,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,30,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,"African, Caribbean, or Black ",8,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Not at all,Very Closely,"Yes, two doses",Positive,White,2,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,25,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,25,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,9,Manufacturing and utilities,Hybrid,"Less than $30,000",High School Diploma or Lower
50 to 59 years-old,Woman,Very Closely,Very Closely,No,Negative,White,37,Business,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,3,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",40,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",40,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",40,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,10,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",40,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,5,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Somewhat,"Yes, one dose",Positive,White,4,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Middle Eastern,2,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Negative,White,37.5,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,38,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Other,6,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,White,10,Management,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,20,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Other,5,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Work from Home Only,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Negative,White,10,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Somewhat,"Yes, one dose",Positive,Other,25,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,Manufacturing and utilities,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,56,Business,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Management,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,5,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Business,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,10,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Positive,Asian,3,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Negative,"African, Caribbean, or Black ",5,Health,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,7,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,15,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,11,Management,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,Indigenous,35,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,20,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,Indigenous,30,Sales and service,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,3,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Middle Eastern,25,Health,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,Indigenous,30,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,9,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",64,"education, law and social, community, and government services",Do Not Work from Home,"$90,000 or more",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,5,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,5,Management,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,36,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,48,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,Asian,50,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,No,Negative,White,50,Management,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,White,50,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,6,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,White,10,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Very Closely,"Yes, two doses",Positive,White,8,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Somewhat,Not at all,"Yes, two doses",Positive,Middle Eastern,30,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,"African, Caribbean, or Black ",30,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",5,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Indigenous,37.5,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Indigenous,25,Management,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,26,Management,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",6,Natural and applied sciences,Work from Home Only,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,7,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,White,40,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Management,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,48,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Some College
60 years and older,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,2,Business,Work from Home Only,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,48,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,25,Management,Hybrid,"$90,000 or more",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,50,Management,Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,12,Manufacturing and utilities,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,No,Negative,White,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,Middle Eastern,5,Health,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,40,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Business,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Middle Eastern,8,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,White,4,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",8,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,Indigenous,28,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Positive,White,5,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Positive,White,5,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Positive,White,5,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Middle Eastern,35,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,4,Sales and service,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,White,9,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Non-binary,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,12,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,Asian,60,Sales and service,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,10,Sales and service,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,7,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,6,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Not at all,Very Closely,No,Negative,White,60,Natural resources and agriculture,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,3,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,40,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Middle Eastern,33,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Indigenous,40,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,35,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Negative,"African, Caribbean, or Black ",6,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Middle Eastern,30,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,White,48,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,7,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",3,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,35,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
